model,mean_ms,std_ms,p50_ms,p95_ms,p99_ms
ge2,275.3768608038081,102.63470197360837,231.64470799383707,575.4646163069991,623.3534047764259
bge,31.05634400155396,0.7197933626990773,30.935200047679245,32.09817496826872,32.8819420398213
e5,30.93213598243892,0.2236909734940755,30.872700037434697,31.4172699698247,31.67292087106034
me5,28.88357998803258,3.452379483714944,31.04109992273152,31.813675130251795,31.986316943075508
labse,16.600630013272166,0.1691032754398382,16.553000081330538,16.859575000125915,17.317077952902764
mpnet,16.663596029393375,0.15690933924277964,16.605549957603216,17.02864490216598,17.191446989309043
