model,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
e5,0.0531249999999999,0.2786458333333333,0.4393229166666664,0.246585441468254,0.2623834350588601,640.0
bge,0.0463541666666666,0.2533854166666667,0.4041666666666669,0.2244227430555555,0.2379314468919596,640.0
me5,0.0510416666666666,0.2796874999999999,0.4888020833333334,0.2430357142857144,0.2788719679825368,640.0
labse,0.0476562499999999,0.1903645833333332,0.3151041666666668,0.1843247767857143,0.1886276685173775,640.0
mpnet,0.05390624999999997,0.23828124999999992,0.39687500000000003,0.2400080605158728,0.24301225982643837,640.0
